"Species","Predictor_Variable","Estimate","Std_Error","z_value","P_Value","Significance"
"PCSH (nbinom2)","(Intercept)",3.4874,0.5824,5.988,"< 0.001","***"
"","Vegetation %",-0.004,0.0068,-0.6,"0.5488",""
"","Tar Road %",-0.0164,0.0095,-1.735,"0.0827","."
"","Light (High vs Low)",-0.9573,0.3245,-2.95,"0.0032","**"
"","Urbanization (Built-up)",-1.0374,0.4433,-2.34,"0.0193","*"
"","Moon %",-7e-04,0.004,-0.181,"0.8566",""
"","Season (Non-winter)",0.485,0.2501,1.939,"0.0525","."
"PITE (nbinom2 - Fixed only)","(Intercept)",4.0725,0.5212,7.814,"< 0.001","***"
"","Vegetation %",-0.0052,0.0067,-0.768,"0.4426",""
"","Tar Road %",-0.0196,0.0091,-2.155,"0.0311","*"
"","Light (High vs Low)",0.2465,0.3263,0.755,"0.4500",""
"","Urbanization (Built-up)",0.0998,0.4005,0.249,"0.8032",""
"","Moon %",0.0024,0.0042,0.572,"0.5673",""
"","Season (Non-winter)",0.2657,0.3486,0.762,"0.4459",""
"TAPH (nbinom2)","(Intercept)",2.0683,0.9696,2.133,"0.0329","*"
"","Vegetation %",-0.007,0.0115,-0.611,"0.5409",""
"","Tar Road %",-0.013,0.016,-0.814,"0.4158",""
"","Light (High vs Low)",-0.0361,0.6154,-0.059,"0.9532",""
"","Urbanization (Built-up)",-0.9612,0.7595,-1.266,"0.2057",""
"","Moon %",-0.0049,0.0079,-0.621,"0.5348",""
"","Season (Non-winter)",1.4668,0.5043,2.909,"0.0036","**"
"NAMP (nbinom2 - Fixed only)","(Intercept)",1.0769,1.2092,0.891,"0.3731",""
"","Vegetation %",-0.0089,0.0118,-0.765,"0.4445",""
"","Tar Road %",-0.0241,0.0171,-1.408,"0.1591",""
"","Light (High vs Low)",-1.281,0.7621,-1.681,"0.0928","."
"","Urbanization (Built-up)",-1.0137,0.7566,-1.34,"0.1803",""
"","Moon %",-0.0016,0.0118,-0.14,"0.8890",""
"","Season (Non-winter)",2.486,0.7844,3.169,"0.0015","**"
